Vorname_Nachname;Nachname;Vorname;Geschlecht;Fraktion
Katharina Landgraf;Landgraf;Katharina;f;CDU/CSU
Heinz Lanfermann;Lanfermann;Heinz;m;FDP
Christian Lange;Lange;Christian;m;SPD
Ulrich Lange;Lange;Ulrich;m;CDU/CSU
Sibylle Laurischk;Laurischk;Sibylle;f;FDP
Karl Lauterbach;Lauterbach;Karl;m;SPD
Caren Lay;Lay;Caren;f;DIE LINKE
Monika Lazar;Lazar;Monika;f;BÜNDNIS 90/DIE GRÜNEN
Max Lehmer;Lehmer;Max;m;CDU/CSU
Paul Lehrieder;Lehrieder;Paul;m;CDU/CSU
Harald Leibrecht;Leibrecht;Harald;m;FDP
Sabine Leidig;Leidig;Sabine;f;DIE LINKE
Steffen-Claudio Lemme;Lemme;Steffen-Claudio;m;SPD
Ralph Lenkert;Lenkert;Ralph;m;DIE LINKE
Michael Leutert;Leutert;Michael;m;DIE LINKE
Sabine Leutheusser-Schnarrenberger;Leutheusser-Schnarrenberger;Sabine;f;FDP
Ursula von der Leyen;von der Leyen;Ursula;f;CDU/CSU
Stefan Liebich;Liebich;Stefan;m;DIE LINKE
Ingbert Liebing;Liebing;Ingbert;m;CDU/CSU
Matthias Lietz;Lietz;Matthias;m;CDU/CSU
Lars Lindemann;Lindemann;Lars;m;FDP
Christian Lindner;Lindner;Christian;m;FDP
Martin Lindner;Lindner;Martin;m;FDP
Tobias Lindner;Lindner;Tobias;m;BÜNDNIS 90/DIE GRÜNEN
Michael Link;Link;Michael;m;FDP
Carsten Linnemann;Linnemann;Carsten;m;CDU/CSU
Patricia Lips;Lips;Patricia;f;CDU/CSU
Burkhard Lischka;Lischka;Burkhard;m;SPD
Gabriele Lösekrug-Möller;Lösekrug-Möller;Gabriele;f;SPD
Erwin Lotter;Lotter;Erwin;m;FDP
Ulla Lötzer;Lötzer;Ulla;f;DIE LINKE
Gesine Lötzsch;Lötzsch;Gesine;f;DIE LINKE
Jan-Marco Luczak;Luczak;Jan-Marco;m;CDU/CSU
Daniela Ludwig;Ludwig;Daniela;f;CDU/CSU
Kirsten Lühmann;Lühmann;Kirsten;f;SPD
Oliver Luksic;Luksic;Oliver;m;FDP
Michael Luther;Luther;Michael;m;CDU/CSU
Thomas Lutze;Lutze;Thomas;m;DIE LINKE
Karin Maag;Maag;Karin;f;CDU/CSU
